
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 40.0	0.0219	0.1458	0.0434	0.0811	0.7391	6.6669	0.6204	0.139	0.169	0.240	0.452
	 -5.0	  0.0	 40.0	0.0244	0.1591	0.0433	0.0760	0.7344	6.5311	0.5139	0.177	0.145	0.309	0.369
	-10.0	  0.0	 40.0	0.0266	0.1703	0.0440	0.0735	0.7301	6.4114	0.4499	0.207	0.132	0.343	0.318
	-15.0	  0.0	 40.0	0.0290	0.1825	0.0457	0.0726	0.7257	6.2915	0.4073	0.237	0.126	0.356	0.281
	-20.0	  0.0	 40.0	0.0316	0.1955	0.0479	0.0726	0.7215	6.1805	0.3740	0.267	0.124	0.359	0.250
	-25.0	  0.0	 40.0	0.0350	0.2123	0.0513	0.0738	0.7170	6.0663	0.3465	0.303	0.125	0.351	0.221
	-30.0	  0.0	 40.0	0.0398	0.2366	0.0568	0.0764	0.7120	5.9453	0.3204	0.352	0.132	0.327	0.188
	-35.0	  0.0	 40.0	0.0482	0.2799	0.0674	0.0826	0.7064	5.8112	0.2928	0.435	0.151	0.272	0.141
	-40.0	  0.0	 40.0	0.0812	0.4599	0.1149	0.1149	0.6999	5.6652	0.2624	0.738	0.262	0.000	0.000
	-45.0	  0.0	 40.0	0.0482	0.2804	0.0657	0.0778	0.7067	5.8198	0.2285	0.441	0.141	0.330	0.088
	-50.0	  0.0	 40.0	0.0399	0.2379	0.0527	0.0667	0.7130	5.9692	0.1916	0.369	0.105	0.439	0.087
	-55.0	  0.0	 40.0	0.0352	0.2151	0.0449	0.0591	0.7185	6.1059	0.1523	0.331	0.081	0.517	0.072
	-60.0	  0.0	 40.0	0.0322	0.2007	0.0395	0.0533	0.7234	6.2318	0.1117	0.307	0.061	0.581	0.050
	-65.0	  0.0	 40.0	0.0301	0.1913	0.0356	0.0486	0.7277	6.3458	0.0719	0.292	0.045	0.636	0.027
	-70.0	  0.0	 40.0	0.0288	0.1855	0.0329	0.0450	0.7313	6.4436	0.0367	0.283	0.031	0.681	0.006
	-75.0	  0.0	 40.0	0.0276	0.1807	0.0298	0.0421	0.7352	6.5524	0.0117	0.277	0.012	0.711	0.000
	-80.0	  0.0	 40.0	0.0271	0.1797	0.0287	0.0412	0.7375	6.6188	0.0011	0.275	0.001	0.724	0.000
	  0.0	180.0	 40.0	0.0218	0.1457	0.0435	0.0811	0.7392	6.6689	0.6204	0.139	0.169	0.241	0.452
	  5.0	180.0	 40.0	0.0211	0.1437	0.0391	0.0727	0.7441	6.8171	0.5139	0.145	0.141	0.341	0.373
	 10.0	180.0	 40.0	0.0201	0.1402	0.0360	0.0672	0.7492	6.9736	0.4499	0.143	0.123	0.407	0.327
	 15.0	180.0	 40.0	0.0189	0.1352	0.0334	0.0632	0.7547	7.1539	0.4073	0.136	0.111	0.457	0.296
	 20.0	180.0	 40.0	0.0179	0.1313	0.0313	0.0601	0.7599	7.3299	0.3740	0.129	0.101	0.497	0.273
	 25.0	180.0	 40.0	0.0170	0.1277	0.0295	0.0575	0.7650	7.5114	0.3465	0.123	0.093	0.531	0.253
	 30.0	180.0	 40.0	0.0162	0.1246	0.0280	0.0551	0.7700	7.6969	0.3204	0.117	0.085	0.563	0.235
	 35.0	180.0	 40.0	0.0155	0.1221	0.0266	0.0529	0.7749	7.8847	0.2928	0.112	0.078	0.595	0.215
	 40.0	180.0	 40.0	0.0149	0.1202	0.0254	0.0506	0.7795	8.0719	0.2624	0.108	0.069	0.630	0.193
	 45.0	180.0	 40.0	0.0144	0.1188	0.0242	0.0483	0.7841	8.2629	0.2285	0.105	0.059	0.666	0.170
	 50.0	180.0	 40.0	0.0140	0.1180	0.0231	0.0460	0.7885	8.4550	0.1916	0.103	0.047	0.705	0.145
	 55.0	180.0	 40.0	0.0137	0.1180	0.0223	0.0438	0.7923	8.6300	0.1523	0.102	0.035	0.745	0.117
	 60.0	180.0	 40.0	0.0135	0.1187	0.0218	0.0418	0.7957	8.7911	0.1117	0.101	0.024	0.787	0.087
	 65.0	180.0	 40.0	0.0134	0.1200	0.0216	0.0402	0.7987	8.9336	0.0719	0.101	0.014	0.827	0.058
	 70.0	180.0	 40.0	0.0135	0.1221	0.0219	0.0390	0.8010	9.0525	0.0367	0.100	0.006	0.863	0.031
	 75.0	180.0	 40.0	0.0137	0.1249	0.0226	0.0387	0.8028	9.1428	0.0117	0.099	0.001	0.889	0.011
	 80.0	180.0	 40.0	0.0140	0.1285	0.0239	0.0395	0.8039	9.1990	0.0011	0.098	0.000	0.900	0.001
