
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 40.0	0.0163	0.1538	0.0515	0.1284	0.8089	9.4650	0.5128	0.177	0.186	0.310	0.327
	 -5.0	  0.0	 40.0	0.0181	0.1699	0.0565	0.1288	0.8074	9.3840	0.5017	0.202	0.198	0.296	0.304
	-10.0	  0.0	 40.0	0.0198	0.1863	0.0606	0.1293	0.8079	9.4115	0.4944	0.230	0.202	0.275	0.293
	-15.0	  0.0	 40.0	0.0217	0.2066	0.0651	0.1291	0.8100	9.5239	0.4729	0.265	0.203	0.262	0.270
	-20.0	  0.0	 40.0	0.0239	0.2304	0.0702	0.1288	0.8120	9.6404	0.4462	0.305	0.206	0.249	0.240
	-25.0	  0.0	 40.0	0.0266	0.2583	0.0767	0.1285	0.8135	9.7223	0.4194	0.351	0.212	0.229	0.207
	-30.0	  0.0	 40.0	0.0300	0.2931	0.0853	0.1286	0.8141	9.7593	0.3933	0.408	0.225	0.199	0.168
	-35.0	  0.0	 40.0	0.0351	0.3419	0.0987	0.1295	0.8137	9.7366	0.3673	0.486	0.251	0.147	0.116
	-40.0	  0.0	 40.0	0.0478	0.4562	0.1343	0.1343	0.8103	9.5443	0.3410	0.659	0.341	0.000	0.000
	-45.0	  0.0	 40.0	0.0351	0.3461	0.0977	0.1264	0.8160	9.8714	0.3133	0.493	0.243	0.194	0.070
	-50.0	  0.0	 40.0	0.0299	0.3036	0.0829	0.1222	0.8207	10.1518	0.2827	0.427	0.204	0.291	0.079
	-55.0	  0.0	 40.0	0.0264	0.2762	0.0726	0.1187	0.8258	10.4804	0.2480	0.384	0.174	0.368	0.074
	-60.0	  0.0	 40.0	0.0235	0.2562	0.0641	0.1153	0.8318	10.8919	0.2081	0.353	0.146	0.439	0.062
	-65.0	  0.0	 40.0	0.0212	0.2411	0.0569	0.1120	0.8385	11.3833	0.1629	0.329	0.120	0.508	0.043
	-70.0	  0.0	 40.0	0.0192	0.2297	0.0507	0.1090	0.8456	11.9525	0.1142	0.311	0.094	0.575	0.020
	-75.0	  0.0	 40.0	0.0174	0.2207	0.0450	0.1063	0.8535	12.6502	0.0668	0.297	0.067	0.636	0.000
	-80.0	  0.0	 40.0	0.0153	0.2129	0.0372	0.1038	0.8661	13.9416	0.0199	0.289	0.020	0.691	0.000
	  0.0	180.0	 40.0	0.0166	0.1552	0.0531	0.1285	0.8064	9.3324	0.5128	0.177	0.196	0.310	0.317
	  5.0	180.0	 40.0	0.0151	0.1426	0.0490	0.1271	0.8080	9.4170	0.5017	0.156	0.188	0.343	0.313
	 10.0	180.0	 40.0	0.0138	0.1313	0.0455	0.1260	0.8095	9.4969	0.4944	0.137	0.182	0.369	0.312
	 15.0	180.0	 40.0	0.0126	0.1231	0.0421	0.1243	0.8139	9.7482	0.4729	0.123	0.172	0.404	0.301
	 20.0	180.0	 40.0	0.0116	0.1168	0.0389	0.1226	0.8199	10.1056	0.4462	0.112	0.160	0.441	0.286
	 25.0	180.0	 40.0	0.0106	0.1117	0.0361	0.1210	0.8264	10.5210	0.4194	0.104	0.149	0.477	0.271
	 30.0	180.0	 40.0	0.0098	0.1077	0.0337	0.1196	0.8331	10.9846	0.3933	0.096	0.138	0.510	0.255
	 35.0	180.0	 40.0	0.0091	0.1045	0.0316	0.1183	0.8399	11.4924	0.3673	0.090	0.128	0.542	0.240
	 40.0	180.0	 40.0	0.0085	0.1027	0.0299	0.1172	0.8467	12.0459	0.3410	0.087	0.117	0.572	0.224
	 45.0	180.0	 40.0	0.0081	0.1020	0.0285	0.1161	0.8534	12.6432	0.3133	0.085	0.107	0.602	0.206
	 50.0	180.0	 40.0	0.0077	0.1025	0.0274	0.1151	0.8600	13.2828	0.2827	0.085	0.096	0.633	0.186
	 55.0	180.0	 40.0	0.0074	0.1037	0.0264	0.1142	0.8667	13.9982	0.2480	0.085	0.084	0.667	0.164
	 60.0	180.0	 40.0	0.0071	0.1050	0.0253	0.1134	0.8738	14.8494	0.2081	0.086	0.069	0.706	0.139
	 65.0	180.0	 40.0	0.0068	0.1067	0.0244	0.1126	0.8806	15.7539	0.1629	0.087	0.052	0.750	0.111
	 70.0	180.0	 40.0	0.0065	0.1088	0.0238	0.1120	0.8868	16.6647	0.1142	0.087	0.036	0.798	0.078
	 75.0	180.0	 40.0	0.0064	0.1111	0.0236	0.1117	0.8917	17.4751	0.0668	0.088	0.020	0.845	0.046
	 80.0	180.0	 40.0	0.0063	0.1144	0.0238	0.1119	0.8955	18.1434	0.0199	0.089	0.005	0.891	0.014
