
	VZA	PHI	SZA	BAND1	BAND2	BAND3	BAND4	NDVI	SR	Pvg	PT	PG	ZT	ZG
	  0.0	  0.0	 35.0	0.0257	0.2309	0.0634	0.1461	0.7999	8.9929	0.5051	0.235	0.178	0.260	0.327
	 -5.0	  0.0	 35.0	0.0289	0.2552	0.0694	0.1463	0.7964	8.8208	0.4992	0.271	0.188	0.230	0.311
	-10.0	  0.0	 35.0	0.0320	0.2781	0.0741	0.1456	0.7935	8.6876	0.4827	0.310	0.190	0.207	0.293
	-15.0	  0.0	 35.0	0.0353	0.3032	0.0789	0.1441	0.7913	8.5840	0.4582	0.353	0.191	0.189	0.267
	-20.0	  0.0	 35.0	0.0391	0.3321	0.0845	0.1422	0.7895	8.5000	0.4283	0.399	0.195	0.172	0.234
	-25.0	  0.0	 35.0	0.0437	0.3682	0.0921	0.1403	0.7879	8.4290	0.3956	0.454	0.204	0.151	0.192
	-30.0	  0.0	 35.0	0.0502	0.4205	0.1043	0.1389	0.7865	8.3697	0.3615	0.525	0.227	0.114	0.135
	-35.0	  0.0	 35.0	0.0668	0.5588	0.1421	0.1421	0.7866	8.3707	0.3269	0.673	0.327	0.000	0.000
	-40.0	  0.0	 35.0	0.0500	0.4206	0.1015	0.1318	0.7873	8.4045	0.2921	0.530	0.216	0.178	0.076
	-45.0	  0.0	 35.0	0.0433	0.3689	0.0856	0.1260	0.7899	8.5192	0.2567	0.469	0.175	0.275	0.081
	-50.0	  0.0	 35.0	0.0386	0.3342	0.0744	0.1210	0.7929	8.6550	0.2202	0.426	0.147	0.354	0.074
	-55.0	  0.0	 35.0	0.0349	0.3074	0.0653	0.1163	0.7961	8.8080	0.1820	0.393	0.122	0.425	0.060
	-60.0	  0.0	 35.0	0.0318	0.2851	0.0573	0.1116	0.7996	8.9787	0.1418	0.365	0.099	0.493	0.042
	-65.0	  0.0	 35.0	0.0290	0.2657	0.0501	0.1072	0.8033	9.1688	0.1004	0.341	0.078	0.559	0.023
	-70.0	  0.0	 35.0	0.0265	0.2485	0.0436	0.1031	0.8073	9.3768	0.0605	0.319	0.057	0.620	0.003
	-75.0	  0.0	 35.0	0.0238	0.2309	0.0362	0.1002	0.8127	9.6804	0.0277	0.299	0.028	0.673	0.000
	-80.0	  0.0	 35.0	0.0216	0.2154	0.0308	0.0987	0.8176	9.9660	0.0079	0.278	0.008	0.714	0.000
	  0.0	180.0	 35.0	0.0260	0.2338	0.0647	0.1460	0.7999	8.9960	0.5051	0.235	0.185	0.260	0.320
	  5.0	180.0	 35.0	0.0232	0.2137	0.0597	0.1447	0.8044	9.2260	0.4992	0.202	0.179	0.299	0.320
	 10.0	180.0	 35.0	0.0205	0.1952	0.0544	0.1425	0.8099	9.5214	0.4827	0.172	0.171	0.345	0.312
	 15.0	180.0	 35.0	0.0180	0.1783	0.0492	0.1396	0.8164	9.8904	0.4582	0.146	0.160	0.396	0.298
	 20.0	180.0	 35.0	0.0158	0.1632	0.0441	0.1363	0.8236	10.3393	0.4283	0.124	0.148	0.448	0.280
	 25.0	180.0	 35.0	0.0138	0.1500	0.0393	0.1329	0.8315	10.8725	0.3956	0.104	0.136	0.500	0.260
	 30.0	180.0	 35.0	0.0122	0.1396	0.0355	0.1301	0.8388	11.4085	0.3615	0.089	0.123	0.550	0.239
	 35.0	180.0	 35.0	0.0109	0.1310	0.0322	0.1274	0.8460	11.9836	0.3269	0.076	0.110	0.597	0.217
	 40.0	180.0	 35.0	0.0099	0.1241	0.0292	0.1248	0.8526	12.5690	0.2921	0.066	0.097	0.642	0.195
	 45.0	180.0	 35.0	0.0090	0.1187	0.0267	0.1223	0.8584	13.1241	0.2567	0.058	0.085	0.685	0.172
	 50.0	180.0	 35.0	0.0085	0.1150	0.0246	0.1199	0.8630	13.5976	0.2202	0.053	0.072	0.726	0.148
	 55.0	180.0	 35.0	0.0081	0.1128	0.0229	0.1175	0.8661	13.9331	0.1820	0.051	0.060	0.767	0.123
	 60.0	180.0	 35.0	0.0079	0.1115	0.0214	0.1152	0.8682	14.1688	0.1418	0.050	0.046	0.808	0.095
	 65.0	180.0	 35.0	0.0077	0.1103	0.0200	0.1129	0.8699	14.3784	0.1004	0.049	0.033	0.851	0.068
	 70.0	180.0	 35.0	0.0075	0.1092	0.0189	0.1110	0.8713	14.5414	0.0605	0.048	0.019	0.892	0.041
	 75.0	180.0	 35.0	0.0074	0.1084	0.0182	0.1097	0.8718	14.5997	0.0277	0.046	0.008	0.927	0.019
	 80.0	180.0	 35.0	0.0074	0.1078	0.0179	0.1093	0.8716	14.5774	0.0079	0.043	0.002	0.949	0.006
